id,title,listing_type,price_inr,beds,floor,total_floors,property_type,lat,lng,area,url,seller,seller_type,posted,description
hyd-rent-07,"3 BHK Apartment, ASBL Spectra",rent,75000,3,31,39,apartment,17.4145,78.338,"Financial District, Hyderabad",https://housing.com/rent/20960274-1980-sqft-3-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,owner,2026-09-08,"Semi-furnished 3 BHK; ₹75,000/month, 1,980 sq ft, floor 31 of 39."
hyd-rent-08,"2.5 BHK Apartment, Prestige High Fields",rent,65000,2.5,28,34,apartment,17.4197,78.3442,"Nanakramguda, Financial District",https://housing.com/rent/20637358-1501-sqft-2.5-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,agent,2026-07-06,"Fully furnished 2.5 BHK; ₹65,000/month, 1,501 sq ft, floor 28 of 34."
hyd-rent-09,"3 BHK Apartment, Prestige High Fields",rent,,3,21,22,apartment,17.4205,78.3445,"Nanakramguda, Financial District",https://housing.com/rent/20177959-1740-sqft-3-bhk-apartment-on-rent-in-financial-district-hyderabad/,Housing.com listing,agent,2026-05-12,"Semi-furnished 3 BHK; 1,740 sq ft, floor 21 of 22. Asking rent was not published in the source result."
hyd-rent-10,"2 BHK Apartment, Prestige High Fields",rent,,2,15,38,apartment,17.42,78.344,"Financial District, Hyderabad",https://housing.com/rent/20207122-1345-sqft-2-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,agent,2026-08-01,"2 BHK; 1,345 sq ft, floor 15 of 38. Asking rent was not published in the source result."
hyd-miyapur-01,"1 BHK Apartment, Miyapur",sale,4400001,1,5,10,apartment,17.4976,78.3565,"Miyapur, Hyderabad",https://housing.com/in/buy/resale/page/21026761-1-bhk-apartment-in-miyapur-for-rs-4400001,Housing.com listing,agent,2026-09-01,"Ready-to-move 1 BHK; ₹44 L, 518 sq ft built-up area, floor 5 of 10."
hyd-miyapur-02,"3 BHK Apartment, Casagrand Mandarin",sale,13200000,3,,,apartment,17.4988,78.3547,"Miyapur, Hyderabad",https://housing.com/in/buy/resale/page/17143810-2-bhk-independent-floor-in-miyapur-for-rs-7800000,Housing.com listing,agent,2026-09-10,"New-launch 3 BHK; ₹1.32 Cr, 2,016 sq ft. Unit floor not published."
hyd-miyapur-03,"3 BHK Apartment, Team4 Aria",sale,12500000,3,,,apartment,17.5002,78.3592,"Miyapur, Hyderabad",https://housing.com/in/buy/resale/page/17143810-2-bhk-independent-floor-in-miyapur-for-rs-7800000,Housing.com listing,agent,2026-09-10,"3 BHK project inventory; from ₹1.25 Cr, 1,695 sq ft. Unit floor not published."
hyd-begumpet-01,"3 BHK Apartment, Prakash Nagar",sale,14500000,3,1,5,apartment,17.4433,78.4597,"Prakash Nagar, Begumpet",https://housing.com/in/buy/resale/page/20655373-3-bhk-apartment-in-begumpet-for-rs-14500000,Housing.com listing,agent,2026-07-09,"Fully furnished 3 BHK; ₹1.45 Cr, 1,980 sq ft built-up area, floor 1 of 5."
hyd-begumpet-02,"2 BHK Apartment, Prakash Nagar",sale,6500000,2,,,apartment,17.4429,78.4592,"Prakash Nagar, Begumpet",https://housing.com/in/buy/hyderabad/begumpet-gid/2bhk-flats-fid/,Housing.com listing,agent,2026-09-11,"Ready-to-move resale 2 BHK; ₹65 L, 1,050 sq ft. Unit floor not published."
hyd-begumpet-03,"2 BHK Apartment, Kundanbagh",sale,6300000,2,,,apartment,17.4469,78.4617,"Kundanbagh, Begumpet",https://housing.com/in/buy/hyderabad/begumpet-gid/2bhk-flats-fid/,Housing.com listing,agent,2026-09-11,"Ready-to-move resale 2 BHK; ₹63 L, 1,001 sq ft. Unit floor not published."
hyd-bachupally-01,"1 BHK Apartment, Bachupally",sale,4200000,1,10,14,apartment,17.5424,78.3818,"Bachupally, Hyderabad",https://housing.com/in/buy/resale/page/17444932-1-bhk-apartment-in-bachupally-for-rs-4200000,Housing.com listing,owner,2026-03-06,"Ready-to-move 1 BHK; ₹42 L, 609 sq ft built-up area, floor 10 of 14."
hyd-bachupally-02,"2 BHK Apartment, Bachupally",sale,5900000,2,5,6,apartment,17.5417,78.3823,"Bachupally, Hyderabad",https://housing.com/in/buy/resale/page/19140918-2-bhk-apartment-in-bachupally-for-rs-5900000,Housing.com listing,owner,2026-04-01,"Fully furnished 2 BHK; ₹59 L, 1,075 sq ft built-up area, floor 5 of 6."
hyd-bachupally-03,"3 BHK Apartment, Urbanrise On Cloud 33",sale,14000000,3,,,apartment,17.544,78.3796,"Bachupally, Hyderabad",https://housing.com/in/buy/hyderabad/bachupally-gid/resale-fid/,Housing.com listing,agent,2026-08-20,"Ready-to-move resale 3 BHK; ₹1.4 Cr, 1,617 sq ft. Unit floor not published."
hyd-bachupally-04,"2 BHK Apartment, Risinia The Twinz",sale,7639000,2,,,apartment,17.5398,78.3845,"Bachupally, Hyderabad",https://housing.com/in/buy/hyderabad/bachupally-gid/,Housing.com listing,agent,2026-09-11,"New-project 2 BHK; from ₹76.39 L, 1,295 sq ft. Unit floor not published."
